county_code,district,school_code,year,Type ID,county,district,school,zipcode,long,lat
1,61143,131177,2018,7,Alameda,Berkeley Unified,Berkeley High,94704,37.868018,-122.27141
1,61143,6056857,2018,7,Alameda,Berkeley Unified,Martin Luther King Middle,94703,37.881804,-122.27702
1,61143,6056865,2018,7,Alameda,Berkeley Unified,Willard Middle,94705,37.860095,-122.25847
1,61143,6090187,2018,7,Alameda,Berkeley Unified,Rosa Parks Environmental Science,94710,37.865615,-122.29457
1,61143,6090195,2018,7,Alameda,Berkeley Unified,Cragmont Elementary,94708,37.894324,-122.26771
1,61143,6090211,2018,7,Alameda,Berkeley Unified,Emerson Elementary,94705,37.86127,-122.25030
1,61143,6090252,2018,7,Alameda,Berkeley Unified,Jefferson Elementary,94702,37.879098,-122.28505
1,61143,6090278,2018,7,Alameda,Berkeley Unified,Sylvia Mendez Elementary,94705,37.858487,-122.26173
1,61143,6090286,2018,7,Alameda,Berkeley Unified,Malcolm X Elementary,94703,37.852775,-122.27357
1,61143,6090294,2018,7,Alameda,Berkeley Unified,Longfellow Arts And Technology Middle,94703,37.858801,-122.27840
1,61143,6090302,2018,7,Alameda,Berkeley Unified,Oxford Elementary,94707,37.887722,-122.26832
1,61143,6090310,2018,7,Alameda,Berkeley Unified,Thousand Oaks Elementary,94707,37.892784,-122.28082
1,61143,6090328,2018,7,Alameda,Berkeley Unified,Washington Elementary,94704,37.86691,-122.27313
1,61143,6105316,2018,7,Alameda,Berkeley Unified,John Muir Elementary,94705,37.857714,-122.24504
